rank,lemma,zipf_freq,evidence,in_workbook
1,be,6.790,verbnet+wn-primary,yes
2,have,6.710,verbnet+wn-primary,yes
3,like,6.410,verbnet+brown+wn-primary,yes
4,do,6.350,verbnet+brown+wn-primary,no
5,time,6.290,verbnet+brown+wn-primary,yes
6,get,6.280,verbnet+brown+wn-primary,yes
7,people,6.250,brown+wn-primary,no
8,know,6.100,verbnet+brown+wn-primary,yes
9,see,6.100,verbnet+brown+wn-primary,yes
10,make,6.080,verbnet+brown+wn-primary,yes
11,think,6.080,verbnet+brown+wn-primary,yes
12,back,6.040,verbnet+brown+wn-primary,yes
13,want,6.040,verbnet+brown+wn-primary,yes
14,go,6.030,verbnet+brown+wn-primary,yes
15,well,6.030,brown,no
16,say,5.890,verbnet+brown+wn-primary,yes
17,even,5.990,verbnet+brown,yes
18,need,5.970,verbnet+brown+wn-primary,yes
19,work,5.960,verbnet+brown+wn-primary,yes
20,off,5.930,verbnet,yes
21,still,5.920,verbnet,no
22,take,5.920,verbnet+brown+wn-primary,yes
23,down,5.880,verbnet+brown,yes
24,last,5.860,verbnet+brown,yes
25,love,5.820,verbnet+brown+wn-primary,yes
26,man,5.820,brown,no
27,long,5.810,verbnet+brown,yes
28,look,5.810,verbnet+brown+wn-primary,yes
29,use,5.810,verbnet+brown+wn-primary,yes
30,come,5.780,verbnet+brown+wn-primary,yes
31,part,5.780,verbnet+brown,yes
32,state,5.780,verbnet+brown,yes
33,better,5.760,verbnet+brown,yes
34,find,5.760,verbnet+brown+wn-primary,yes
35,help,5.750,verbnet+brown+wn-primary,no
36,own,5.740,verbnet+brown+wn-primary,yes
37,give,5.710,verbnet+brown+wn-primary,yes
38,house,5.710,verbnet+brown,yes
39,place,5.710,verbnet+brown+wn-primary,yes
40,school,5.710,brown+wn-primary,no
41,end,5.680,verbnet+brown,no
42,show,5.680,verbnet+brown+wn-primary,yes
43,feel,5.670,verbnet+brown+wn-primary,yes
44,team,5.670,verbnet+brown+wn-primary,no
45,keep,5.660,verbnet+brown+wn-primary,no
46,please,5.660,verbnet+brown+wn-primary,yes
47,put,5.660,verbnet+brown+wn-primary,yes
48,free,5.630,verbnet+brown+wn-primary,no
49,leave,5.340,verbnet+brown+wn-primary,yes
50,number,5.620,verbnet+brown+wn-primary,yes
51,name,5.610,verbnet+brown+wn-primary,yes
52,play,5.610,verbnet+brown+wn-primary,yes
53,let,5.600,verbnet+brown+wn-primary,yes
54,call,5.510,verbnet+brown+wn-primary,yes
55,set,5.590,verbnet+brown+wn-primary,yes
56,group,5.570,verbnet+brown+wn-primary,yes
57,top,5.570,verbnet+brown+wn-primary,yes
58,care,5.560,verbnet+brown+wn-primary,yes
59,start,5.560,verbnet+brown+wn-primary,yes
60,case,5.550,verbnet+brown,yes
61,change,5.540,verbnet+brown+wn-primary,yes
62,live,5.540,verbnet+brown+wn-primary,yes
63,point,5.540,verbnet+brown+wn-primary,yes
64,read,5.540,verbnet+brown+wn-primary,yes
65,tell,5.530,verbnet+brown+wn-primary,yes
66,mean,5.530,verbnet+brown+wn-primary,yes
67,support,5.530,verbnet+brown+wn-primary,yes
68,include,5.210,verbnet+brown+wn-primary,no
69,power,5.520,brown,no
70,stop,5.520,verbnet+brown+wn-primary,yes
71,water,5.520,verbnet+brown+wn-primary,yes
72,base,5.050,verbnet+brown,yes
73,believe,5.510,verbnet+brown+wn-primary,yes
74,head,5.510,verbnet+brown,yes
75,side,5.500,verbnet,yes
76,try,5.500,verbnet+brown+wn-primary,yes
77,line,5.490,verbnet+brown,yes
78,order,5.490,verbnet+brown+wn-primary,yes
79,run,5.490,verbnet+brown+wn-primary,yes
80,service,5.490,brown,no
81,open,5.480,verbnet+brown+wn-primary,yes
82,season,5.480,verbnet+brown+wn-primary,yes
83,shit,5.480,verbnet,yes
